scaf0054177.1,Bradi2g25640.1|PACid:21808022,45.671641791
scaf0182802.1,Bradi4g36045.1|PACid:21811965,31.5151515152
scaf0248136.2,Bradi3g42470.1|PACid:21827305,47.0588235294
scaf0248136.1,Bradi3g42560.1|PACid:21833240,45.0819672131
scaf0185256.1,Bradi1g07510.1|PACid:21821061,8.49673202614
scaf0348943.4,Bradi3g41710.1|PACid:21829507,32.6352530541
scaf0348943.6,Bradi5g02270.1|PACid:21824422,10.8761329305
scaf0348943.3,Bradi5g02260.1|PACid:21824454,8.03212851406
scaf0421824.1,Bradi4g31430.1|PACid:21813342,10.752688172
scaf0372355.1,Bradi0023s00220.2|PACid:21809740,20.6770356816
scaf0026930.2,Bradi1g33510.1|PACid:21814815,36.8767638758
scaf0224011.1,Bradi1g07577.1|PACid:21820213,8.92018779343
scaf0224011.2,Bradi4g31930.1|PACid:21812528,32.2660098522
scaf0224011.3,Bradi4g31937.3|PACid:21810319,24.9484536082
scaf0395074.1,Bradi2g50900.1|PACid:21806251,58.0
scaf0153632.1,Bradi3g51990.1|PACid:21827255,43.5897435897
scaf0153632.2,Bradi2g58987.1|PACid:21804531,48.6413043478
scaf0430638.1,Bradi1g33210.1|PACid:21815707,10.1865136298
scaf0024304.1,Bradi4g21150.1|PACid:21814660,46.7796610169
scaf0391632.2,Bradi5g08520.1|PACid:21825376,4.73372781065
scaf0398145.2,Bradi1g02230.1|PACid:21816416,50.9090909091
scaf0398145.1,Bradi4g33840.1|PACid:21811648,2.54237288136
scaf0014798.3,Bradi2g16510.1|PACid:21804609,25.1101321586
scaf0014798.2,Bradi4g12350.1|PACid:21811697,43.8095238095
scaf0128969.1,Bradi5g27670.1|PACid:21824646,0.0
scaf0100259.1,Bradi3g30620.1|PACid:21827202,18.9323401614
scaf0165431.1,Bradi2g54040.1|PACid:21806958,13.0769230769
scaf0255618.1,Bradi1g72040.1|PACid:21819537,51.1508951407
scaf0164044.2,Bradi3g12970.1|PACid:21829210,28.6995515695
scaf0164044.1,Bradi3g10720.1|PACid:21832561,47.619047619
scaf0417640.2,Bradi1g76660.1|PACid:21820549,58.8826815642
scaf0236579.2,Bradi5g23166.1|PACid:21824919,16.8539325843
scaf0434309.1,Bradi3g29200.1|PACid:21830944,32.0346320346
scaf0032392.1,Bradi4g01170.1|PACid:21814384,34.4897959184
scaf0328870.1,Bradi3g03970.1|PACid:21830631,33.023255814
scaf0010262.1,Bradi3g51777.1|PACid:21828883,30.4545454545
scaf0003064.4,Bradi3g41550.1|PACid:21833154,19.0751445087
scaf0405710.1,Bradi1g74300.1|PACid:21821970,12.3028391167
scaf0408870.2,Bradi2g46980.1|PACid:21804263,50.3856041131
scaf0408870.1,Bradi1g44160.1|PACid:21815234,12.368168744
scaf0068675.2,Bradi5g12640.1|PACid:21825430,38.7096774194
scaf0068675.3,Bradi3g46360.1|PACid:21829313,49.6567505721
scaf0068675.1,Bradi5g26550.1|PACid:21826656,46.1052631579
scaf0368543.2,Bradi3g50150.1|PACid:21831396,20.5040091638
scaf0368543.1,Bradi1g53085.1|PACid:21816238,49.2874109264
scaf0431428.2,Bradi1g23490.1|PACid:21819675,51.7819706499
scaf0193589.1,Bradi4g32160.1|PACid:21810850,25.9259259259
scaf0089553.1,Bradi3g49260.1|PACid:21829987,4.03899721448
scaf0201995.1,Bradi1g35530.1|PACid:21820871,44.4444444444
scaf0201995.2,Bradi3g57750.4|PACid:21833225,11.3461538462
scaf0174390.1,Bradi1g30330.1|PACid:21817066,29.2993630573
scaf0109643.1,Bradi3g02580.1|PACid:21828711,5.84192439863
scaf0137379.1,Bradi2g37250.1|PACid:21802933,13.6645962733
scaf0049924.1,Bradi3g09110.1|PACid:21830963,16.5266106443
scaf0146007.1,Bradi2g31510.1|PACid:21803507,50.0
scaf0416316.2,Bradi5g19440.1|PACid:21825547,38.5681293303
scaf0416316.1,Bradi1g20080.1|PACid:21814813,5.97014925373
scaf0416316.4,Bradi1g19990.1|PACid:21817773,35.7746478873
scaf0001527.1,Bradi3g06957.1|PACid:21827883,34.0
scaf0422790.2,Bradi2g31540.1|PACid:21808069,41.628440367
scaf0422790.3,Bradi5g08230.1|PACid:21826482,7.57128810226
scaf0067062.1,Bradi4g37470.1|PACid:21811815,36.0433604336
scaf0111942.1,Bradi4g00747.1|PACid:21814068,48.3944954128
scaf0036979.4,Bradi4g38550.1|PACid:21811814,28.2685512367
scaf0036979.2,Bradi4g38550.1|PACid:21811814,28.2685512367
scaf0036979.3,Bradi4g38550.1|PACid:21811814,27.5618374558
scaf0036979.1,Bradi2g00800.1|PACid:21808890,8.25688073394
scaf0002267.2,Bradi4g27570.1|PACid:21810056,40.0785854617
scaf0002267.1,Bradi2g44490.1|PACid:21805086,45.6586826347
scaf0153187.1,Bradi3g09977.1|PACid:21827662,56.2264150943
scaf0328848.1,Bradi1g00770.1|PACid:21819832,34.2182890855
scaf0019269.1,Bradi2g01710.1|PACid:21803449,41.4772727273
scaf0141663.1,Bradi1g15610.1|PACid:21815652,58.4577114428
scaf0025338.1,Bradi1g75530.1|PACid:21822324,33.3925399645
scaf0433310.1,Bradi1g29360.1|PACid:21815522,1.86335403727
scaf0370989.1,Bradi1g11760.1|PACid:21815393,16.7979002625
scaf0283465.1,Bradi2g14160.1|PACid:21803965,5.52486187845
scaf0140056.1,Bradi1g60647.1|PACid:21821218,47.6331360947
scaf0143167.1,Bradi2g17230.1|PACid:21803778,14.5454545455
scaf0089233.2,Bradi2g59680.1|PACid:21809671,45.0980392157
scaf0410234.1,Bradi2g15620.1|PACid:21808129,15.9395973154
scaf0252531.1,Bradi4g41750.1|PACid:21814342,25.6115107914
scaf0420009.1,Bradi2g62760.1|PACid:21805209,15.600624025
scaf0420009.2,Bradi4g37930.1|PACid:21810573,2.46913580247
scaf0027931.1,Bradi3g45677.1|PACid:21828207,10.9756097561
scaf0090183.1,Bradi4g21920.1|PACid:21814404,36.5800865801
scaf0139556.1,Bradi3g27500.1|PACid:21826852,49.6124031008
scaf0008760.1,Bradi1g45040.1|PACid:21823356,28.2122905028
scaf0116194.1,Bradi4g35400.1|PACid:21809986,20.9375
scaf7363781.1,Bradi4g12940.1|PACid:21814702,17.0498084291
scaf0370498.1,Bradi2g25500.1|PACid:21807807,43.5008665511
scaf0434739.1,Bradi4g29920.1|PACid:21809827,62.7705627706
scaf0310452.1,Bradi2g40100.1|PACid:21808758,27.3778920308
scaf0230516.2,Bradi2g19540.1|PACid:21804290,38.5542168675
scaf0230516.1,Bradi3g44650.1|PACid:21831177,11.6465863454
scaf0018295.1,Bradi2g53590.1|PACid:21809574,34.693877551
scaf0117784.1,Bradi4g29700.1|PACid:21810070,1.24069478908
scaf0422556.1,Bradi2g60190.1|PACid:21805690,27.850877193
scaf0016689.1,Bradi5g14190.1|PACid:21825988,17.0403587444
scaf0101667.1,Bradi4g02786.1|PACid:21813962,43.7613019892
scaf0040110.1,Bradi3g42230.1|PACid:21826830,32.1637426901
scaf0185699.1,Bradi2g24680.1|PACid:21805130,53.4574468085
scaf0370808.1,Bradi1g13807.1|PACid:21815049,34.8017621145
scaf0161858.2,Bradi1g67380.1|PACid:21815362,9.87124463519
scaf0161858.1,Bradi1g67387.1|PACid:21818875,12.6472898665
scaf7363204.1,Bradi4g33850.1|PACid:21813905,32.5520833333
scaf0157296.1,Bradi1g57760.1|PACid:21822851,57.8869047619
scaf0142202.1,Bradi4g17960.1|PACid:21812697,18.253968254
scaf0200590.1,Bradi1g29560.1|PACid:21822969,59.3109869646
scaf0129504.1,Bradi2g22810.1|PACid:21806431,23.4273318872
scaf0424610.1,Bradi4g28480.1|PACid:21814548,37.984496124
scaf0423086.1,Bradi1g63910.1|PACid:21814998,53.8095238095
scaf0299564.1,Bradi3g51800.1|PACid:21833740,42.3791821561
scaf0002269.1,Bradi3g28800.1|PACid:21830626,14.4230769231
scaf0350482.1,Bradi1g71082.1|PACid:21817535,33.7121212121
scaf0350482.2,Bradi2g41210.1|PACid:21809025,58.8028169014
scaf0435159.1,Bradi3g41460.1|PACid:21831552,35.6770833333
scaf0435159.2,Bradi3g44250.1|PACid:21830584,5.6420233463
scaf0367534.1,Bradi4g20610.1|PACid:21814430,10.8407079646
scaf0105235.1,Bradi1g09910.1|PACid:21818885,21.568627451
scaf0105235.2,Bradi1g66540.1|PACid:21819240,32.5728770596
scaf0234833.1,Bradi4g31640.1|PACid:21814693,1.32530120482
scaf0159748.1,Bradi4g03050.1|PACid:21813596,17.8245614035
scaf0206240.2,Bradi5g00650.1|PACid:21825667,55.873015873
scaf0095579.1,Bradi4g38690.1|PACid:21813428,59.9761051374
scaf0006516.1,Bradi1g53437.1|PACid:21819272,13.3689839572
scaf0052478.1,Bradi1g34310.1|PACid:21818529,40.5541561713
scaf0052478.2,Bradi1g02810.1|PACid:21818156,9.58083832335
scaf0407745.1,Bradi1g50590.1|PACid:21814931,39.7058823529
scaf0402554.1,Bradi1g49497.1|PACid:21822625,16.5644171779
scaf0024527.1,Bradi1g34250.1|PACid:21816445,21.7054263566
scaf0024527.2,Bradi3g16160.1|PACid:21830108,53.4274193548
scaf0076500.2,Bradi4g36267.1|PACid:21812794,28.6956521739
scaf0076500.1,Bradi4g36267.1|PACid:21812794,28.6956521739
scaf0385063.1,Bradi4g02220.1|PACid:21810909,45.4672245467
scaf0102233.1,Bradi2g38350.1|PACid:21809145,55.2173913043
scaf0327751.1,Bradi4g14780.1|PACid:21814547,57.0422535211
scaf0259909.2,Bradi3g46600.1|PACid:21829557,48.4797297297
scaf0041783.1,Bradi1g63360.1|PACid:21816639,35.2526439483
scaf0041783.2,Bradi3g34245.2|PACid:21827633,5.83941605839
scaf0423244.1,Bradi4g07217.1|PACid:21811626,38.0886426593
scaf0232914.2,Bradi5g20060.1|PACid:21826447,41.3580246914
scaf0232914.1,Bradi4g40030.1|PACid:21810790,27.7108433735
scaf7364063.1,Bradi1g37360.1|PACid:21814957,52.1172638436
scaf0091013.1,Bradi1g16210.1|PACid:21814799,5.4347826087
scaf0045606.1,Bradi1g23650.1|PACid:21816307,39.7435897436
scaf0018568.1,Bradi2g33230.1|PACid:21808179,57.7514792899
scaf0007816.2,Bradi1g52580.1|PACid:21817749,4.3795620438
scaf0318069.1,Bradi5g21387.1|PACid:21824337,38.1839348079
scaf0303663.1,Bradi3g19347.1|PACid:21833036,9.58702064897
scaf0423064.1,Bradi2g57900.1|PACid:21807368,20.0266134398
scaf0045291.1,Bradi5g21497.1|PACid:21823822,10.9725685786
scaf0159600.1,Bradi2g00920.1|PACid:21808341,18.7007874016
scaf0429448.2,Bradi2g33160.1|PACid:21807684,38.8127853881
scaf0429448.1,Bradi2g47690.1|PACid:21805890,54.954954955
scaf0192342.3,Bradi2g43430.1|PACid:21804879,51.566951567
scaf0192342.1,Bradi2g62130.1|PACid:21807836,10.6299212598
scaf0233336.2,Bradi4g22760.1|PACid:21814084,29.2168674699
scaf0169390.1,Bradi2g47690.1|PACid:21805890,46.8468468468
scaf0169390.2,Bradi2g47690.1|PACid:21805890,39.6396396396
scaf0233336.1,Bradi3g10887.1|PACid:21830089,33.8266384778
scaf7363305.1,Bradi1g72500.1|PACid:21815628,54.953271028
scaf0139338.1,Bradi3g55020.1|PACid:21829520,40.9395973154
scaf0169022.1,Bradi3g36540.1|PACid:21831317,47.15261959
scaf0196344.1,Bradi2g11200.1|PACid:21804136,8.74200426439
scaf0282312.1,Bradi2g19850.1|PACid:21805657,53.1413612565
scaf0328005.2,Bradi2g05660.1|PACid:21808656,9.05797101449
scaf0009696.1,Bradi3g56190.1|PACid:21831423,19.4373401535
scaf0417328.2,Bradi4g03750.1|PACid:21811826,26.8156424581
scaf0216245.2,Bradi5g25110.2|PACid:21825445,0.0
scaf0216245.3,Bradi5g25100.1|PACid:21826245,15.1648351648
scaf0232897.1,Bradi2g47730.1|PACid:21803458,4.45859872611
scaf0254843.2,Bradi3g05170.1|PACid:21827164,11.9496855346
scaf0254843.1,Bradi3g05160.1|PACid:21831122,4.18994413408
scaf0117924.1,Bradi5g09120.1|PACid:21825489,47.4509803922
scaf0273959.1,Bradi4g21730.1|PACid:21813361,47.1698113208
scaf0080515.1,Bradi3g18140.1|PACid:21826839,25.3576072822
scaf0421856.1,Bradi5g00650.1|PACid:21825667,51.746031746
scaf0036878.1,Bradi3g11337.1|PACid:21831178,47.1731448763
scaf0179848.1,Bradi1g67360.1|PACid:21816278,23.6363636364
scaf0179848.2,Bradi1g53040.1|PACid:21822180,37.9746835443
scaf0433971.1,Bradi1g58350.1|PACid:21818786,8.14814814815
scaf0232536.1,Bradi1g30240.1|PACid:21820938,46.5671641791
scaf0015069.2,Bradi1g70520.1|PACid:21820295,24.3697478992
scaf0015069.1,Bradi1g70530.1|PACid:21823480,41.3793103448
scaf0211314.2,Bradi3g03400.1|PACid:21828462,57.2769953052
scaf0245561.1,Bradi1g31920.1|PACid:21815061,53.1017369727
scaf0416184.1,Bradi1g19790.1|PACid:21820038,50.5836575875
scaf0016329.1,Bradi1g20630.1|PACid:21822830,43.4234234234
scaf0277283.1,Bradi1g72680.1|PACid:21819619,18.2527301092
scaf0016329.2,Bradi4g28400.1|PACid:21812482,18.72
scaf0098114.1,Bradi3g32340.1|PACid:21827814,22.9249011858
scaf0098114.3,Bradi3g12957.2|PACid:21829336,14.3700787402
scaf0328204.1,Bradi1g51300.1|PACid:21820715,4.11522633745
scaf0180707.1,Bradi4g26870.1|PACid:21813299,16.1943319838
scaf0425089.1,Bradi3g09840.1|PACid:21831379,29.0322580645
scaf0189447.1,Bradi1g53947.1|PACid:21820724,56.5925925926
scaf0316703.1,Bradi5g24660.1|PACid:21825275,12.5
scaf0415374.1,Bradi4g12200.1|PACid:21811132,37.5
scaf0428990.1,Bradi4g36250.1|PACid:21810125,17.1052631579
scaf0181277.1,Bradi1g17387.1|PACid:21818631,16.0243407708
scaf0177919.2,Bradi3g01370.1|PACid:21833177,10.0166944908
scaf7363842.1,Bradi1g67517.1|PACid:21815747,21.609538003
scaf0217424.2,Bradi2g06280.1|PACid:21809405,21.2765957447
scaf0308220.2,Bradi1g01520.1|PACid:21816255,24.016563147
scaf0308220.1,Bradi4g24807.1|PACid:21814620,56.6137566138
scaf0217424.1,Bradi2g35980.1|PACid:21803605,49.7797356828
scaf0062943.1,Bradi4g08167.1|PACid:21811830,21.7158176944
scaf0130321.2,Bradi3g14277.1|PACid:21833591,1.68776371308
scaf0115166.2,Bradi1g49470.1|PACid:21817099,2.06985769728
scaf0115166.1,Bradi3g55470.1|PACid:21828006,27.398989899
scaf0435491.1,Bradi5g23690.1|PACid:21825132,24.7706422018
scaf0131750.1,Bradi3g18160.1|PACid:21830578,21.0616438356
scaf0431398.2,Bradi1g52381.1|PACid:21822215,22.8070175439
scaf0342918.2,Bradi1g24297.1|PACid:21820695,53.7467700258
scaf0342918.1,Bradi3g15260.1|PACid:21829421,55.7522123894
scaf0001066.2,Bradi5g22400.1|PACid:21823785,35.7723577236
scaf0307573.1,Bradi2g44480.1|PACid:21807938,49.4475138122
scaf0021881.1,Bradi3g07595.1|PACid:21831345,26.8060836502
scaf0368502.1,Bradi3g03185.1|PACid:21829619,32.602739726
scaf0004645.2,Bradi5g07360.1|PACid:21826719,33.5164835165
scaf0268372.1,Bradi3g25920.1|PACid:21831726,15.1260504202
scaf0227274.1,Bradi1g30860.1|PACid:21821303,16.4399092971
scaf0049639.1,Bradi3g17450.1|PACid:21831447,27.0029673591
scaf0330316.2,Bradi2g48450.1|PACid:21806142,69.0522243714
scaf0268524.2,Bradi5g01060.1|PACid:21825300,13.4816753927
scaf0373634.1,Bradi5g26300.1|PACid:21824918,32.3607427056
scaf0007701.1,Bradi1g51240.1|PACid:21818793,41.1676646707
scaf0323997.1,Bradi1g20440.1|PACid:21816409,20.652173913
scaf0194119.2,Bradi2g52417.1|PACid:21802990,58.8921282799
scaf0194119.1,Bradi2g16210.1|PACid:21808941,13.7931034483
scaf0151096.1,Bradi1g13150.1|PACid:21822516,6.90690690691
scaf0108439.1,Bradi2g15260.1|PACid:21806868,56.3529411765
scaf0292971.1,Bradi4g43517.3|PACid:21811737,5.11832691249
scaf0434661.1,Bradi2g35150.1|PACid:21805340,19.6319018405
scaf0074721.1,Bradi4g36045.1|PACid:21811965,31.5151515152
scaf0323469.1,Bradi1g63690.1|PACid:21822021,37.6068376068
scaf0068190.2,Bradi3g06390.1|PACid:21831488,50.2463054187
scaf0105016.1,Bradi1g68670.1|PACid:21817209,34.9253731343
scaf0068190.1,Bradi5g14860.1|PACid:21823847,16.1637931034
scaf0074713.1,Bradi4g28270.1|PACid:21813996,8.12672176309
scaf0008069.1,Bradi4g03107.1|PACid:21811392,22.5263157895
scaf0095337.1,Bradi1g31112.1|PACid:21823312,53.6121673004
scaf0369642.3,Bradi4g24360.1|PACid:21812760,51.7857142857
scaf0004463.1,Bradi1g63610.1|PACid:21817052,40.395480226
scaf0431674.1,Bradi2g26190.1|PACid:21809650,38.112522686
scaf0160120.1,Bradi1g06070.1|PACid:21816737,48.2517482517
scaf0021281.1,Bradi5g16150.1|PACid:21826000,31.156462585
scaf0021281.3,Bradi2g42637.1|PACid:21806337,39.4097222222
scaf0088093.2,Bradi3g54840.1|PACid:21827450,44.6511627907
scaf0429810.1,Bradi3g14127.1|PACid:21830972,0.965018094089
scaf0041561.2,Bradi3g19520.1|PACid:21831938,9.75609756098
scaf0041561.1,Bradi3g21060.1|PACid:21833348,44.9922958398
scaf0107969.1,Bradi1g56900.1|PACid:21816205,36.276849642
scaf0157426.1,Bradi1g34130.1|PACid:21819531,2.69541778976
scaf0191026.1,Bradi2g48170.1|PACid:21805992,52.0661157025
scaf0423509.1,Bradi2g04310.1|PACid:21802980,42.1455938697
scaf0423509.2,Bradi5g13550.1|PACid:21824106,39.7137745975
scaf0281882.2,Bradi1g64507.1|PACid:21818459,7.02127659574
scaf0436012.1,Bradi5g02030.1|PACid:21826629,54.8621190131
scaf0242931.3,Bradi5g22620.1|PACid:21826435,59.3023255814
scaf0242931.2,Bradi2g04290.1|PACid:21806442,15.306122449
scaf0242931.1,Bradi1g36360.1|PACid:21823351,43.4504792332
scaf0115142.1,Bradi1g58260.1|PACid:21821022,50.7015902713
scaf0010793.1,Bradi1g06790.1|PACid:21819124,9.66386554622
scaf0216584.1,Bradi4g07350.1|PACid:21811331,4.41640378549
scaf0001247.1,Bradi2g11600.2|PACid:21809234,61.2188365651
scaf0132879.1,Bradi2g59010.1|PACid:21808994,47.311827957
scaf0280469.1,Bradi1g47310.1|PACid:21817048,42.5423728814
scaf0208795.1,Bradi1g63397.1|PACid:21817146,15.3846153846
scaf0208795.2,Bradi2g01350.1|PACid:21806513,38.9175257732
scaf0222222.1,Bradi3g30440.1|PACid:21828039,50.9169363538
scaf0041097.1,Bradi3g19240.1|PACid:21832548,62.763915547
scaf0041097.2,Bradi1g78280.1|PACid:21820974,53.3477321814
scaf0431701.1,Bradi4g33690.1|PACid:21811545,3.20512820513
scaf0435889.1,Bradi2g61460.1|PACid:21805575,44.0167364017
scaf0346727.1,Bradi3g18830.1|PACid:21830230,0.254452926209
scaf0330252.2,Bradi2g37360.1|PACid:21804038,52.4916943522
scaf0330252.1,Bradi3g52880.1|PACid:21829630,19.4357366771
scaf0123366.1,Bradi1g32950.1|PACid:21822214,29.3670886076
scaf0269204.1,Bradi1g23450.1|PACid:21820272,48.4435797665
scaf0091565.1,Bradi2g04700.1|PACid:21804841,33.7209302326
scaf0046531.1,Bradi1g76430.1|PACid:21818769,44.05360134
scaf0220819.1,Bradi3g55940.1|PACid:21828666,57.0127504554
scaf0128691.1,Bradi1g24630.1|PACid:21817922,58.4239130435
scaf0321088.2,Bradi2g12228.1|PACid:21809320,19.6629213483
scaf0089284.2,Bradi1g09460.1|PACid:21816355,42.1221864952
scaf0089284.1,Bradi2g38350.1|PACid:21809145,7.82608695652
scaf0321088.1,Bradi1g19980.1|PACid:21816981,15.7270029674
scaf0364629.1,Bradi3g61040.1|PACid:21830036,50.9915014164
scaf0000987.1,Bradi5g13727.1|PACid:21825382,51.8644067797
scaf0241571.1,Bradi5g22970.1|PACid:21825359,26.4018691589
scaf0136863.1,Bradi2g15220.1|PACid:21802922,48.3747609943
scaf0237464.1,Bradi2g32250.1|PACid:21808376,36.9668246445
scaf0251672.1,Bradi2g00720.1|PACid:21803567,31.4009661836
scaf0380346.1,Bradi2g36810.1|PACid:21807926,29.9232736573
scaf0066566.1,Bradi1g52580.1|PACid:21817749,50.3649635036
scaf0001994.2,Bradi4g45227.1|PACid:21812289,50.6507592191
scaf0410338.1,Bradi5g13435.1|PACid:21826329,9.90476190476
scaf0200170.1,Bradi2g01740.1|PACid:21803201,44.0414507772
scaf0257138.1,Bradi1g37907.1|PACid:21816078,15.2475247525
scaf0207392.1,Bradi5g07350.1|PACid:21825002,12.5581395349
scaf0133656.1,Bradi3g00816.1|PACid:21827791,18.8449848024
scaf7363687.1,Bradi2g34390.1|PACid:21807816,26.3066202091
scaf0008658.1,Bradi3g56680.1|PACid:21828736,43.669250646
scaf0264467.1,Bradi1g15650.1|PACid:21823051,40.7613005551
scaf0365595.1,Bradi3g14990.1|PACid:21828189,47.9061976549
scaf0167723.1,Bradi3g42670.4|PACid:21827320,27.6556776557
scaf0167723.2,Bradi5g14667.1|PACid:21825278,18.1818181818
scaf0080682.1,Bradi2g15500.1|PACid:21809478,31.3405797101
scaf0402498.2,Bradi4g14980.1|PACid:21811802,67.6991150442
scaf0402498.1,Bradi3g54920.1|PACid:21832084,50.0
scaf0353296.1,Bradi2g34540.1|PACid:21804666,42.9447852761
scaf0353296.2,Bradi1g24650.1|PACid:21823136,36.9863013699
scaf0337693.2,Bradi1g45130.1|PACid:21818553,37.1394230769
scaf0337693.1,Bradi3g47340.1|PACid:21828395,50.5333333333
scaf0066578.1,Bradi4g42070.1|PACid:21809933,20.1923076923
